지역,구분,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
전국,상승,0.410976765,2.377140944,1.607599413,0.92007258,1.149021498,0.766166045,0.614901858,0.724109391,0.685535571,0.690862846,1.227149023,0.872249566,0.343508951,0.091753639,0.084986132,0,0.039396,0,0.108643,0.065433,0.057944,0,0,0.024681,0.053946,0.033640639,0.021734164,0.03666399,0.04585262,0.00580041,0.04913001,0.06906208,0.04886271,0.02536996,0.03396112,0.11566932,0.02577191,0.02110007,0.02139586,0,0.03887566,0.00856411,0.0323095,0.07612546,0.10870569,0.31401424,0.1407068,0.1050129,0.05786761,0.04188482,0.12362123,0.09078571,0.08412292,0.28794539,0.08611262,0.08831002,0.82420152,0.08815462,0.08426397,0.24408986,0.64675154
전국,약상승,27.07659224,42.41479347,48.08813993,41.51864815,41.10874344,31.21479831,24.24135341,29.27943927,37.06247419,42.17232334,49.52807688,45.5114632,33.25264843,13.4924737,8.3402768,5.362853,4.638023,8.542306,9.972246,7.75045,4.649476,2.469205,1.866355,0.898786,0.471903,0.824833272,0.595206711,1.2201419,4.22457378,4.89869805,6.04717999,9.63659366,13.53183168,12.32384911,18.2414701,21.14244103,11.27879419,4.12415689,2.82883312,4.11816534,4.93492078,6.65650206,8.44668495,8.36841353,15.74669301,26.00148867,26.20086224,16.93738424,12.22038091,7.74730968,4.02608209,4.38008717,6.87070211,14.59967688,10.59125989,13.59719309,28.43761059,11.86278984,11.31098764,18.05564032,23.20435888
전국,보통,66.57112779,51.45905136,48.14842731,54.26303911,54.43774091,62.30786131,67.53982373,63.90070662,58.68705003,54.1326633,47.27826315,51.13048047,61.81504825,71.51883135,69.48305249,65.855688,64.422446,71.08782,70.650452,66.353399,54.283457,45.030198,44.196494,37.901093,31.844767,24.08375906,22.54821516,35.82731784,45.62750132,51.74928677,58.85976313,63.02550942,64.92787823,68.07536529,68.46494744,66.92521308,72.06099944,64.31045777,59.48207855,62.92983356,66.75163724,65.95437994,69.13090667,70.14725689,67.34828376,60.00772008,62.52864053,70.52667281,72.48743333,68.62909576,62.78986071,62.56344014,67.10037389,65.84726275,68.71460345,69.50507898,60.21180887,69.72032541,72.40957456,66.65973816,63.23373856
전국,약하락,5.893468483,3.626504917,2.097017796,3.18753391,3.165025551,5.626817502,7.545967505,6.01395453,3.550526336,2.87227227,1.814614327,2.410602876,4.540347653,14.76006356,21.911263,28.331826,30.385447,20.138161,19.139857,25.596557,40.306234,51.04206,52.434346,58.840677,64.906996,67.5227994,69.56322445,58.60528499,47.31414602,41.69209004,34.02222678,26.36843125,20.82226882,19.03558626,12.82323005,11.26365237,16.21250569,31.029903,36.79473507,32.44462663,27.7755398,26.93541183,22.007236,20.92227086,16.47941852,13.4212064,11.00740385,12.21783517,15.09653698,23.17805779,32.50556554,32.39597278,25.62692949,18.93941092,20.2061782,16.56735365,10.33351586,17.91228905,15.86634364,14.72329482,12.66470301
전국,하락,0.047834718,0.122509305,0.058815558,0.110706253,0.139468599,0.063433285,0.057953499,0.081790197,0.014413867,0.131878243,0.15189662,0.075203886,0.048446714,0.136877762,0.180421584,0.449633,0.514688,0.231713,0.128803,0.234161,0.702889,1.458536,1.502804,2.334763,2.722388,7.53496763,7.27161951,4.31059129,2.78792625,1.65412472,1.0217001,0.90040359,0.66915857,0.53982938,0.43639129,0.5530242,0.42192877,0.51438226,0.87295739,0.50737447,0.49902651,0.44514205,0.38286287,0.48593326,0.31689901,0.25557061,0.12238658,0.21309488,0.13778117,0.40365196,0.55487042,0.5697142,0.31787159,0.32570406,0.40184583,0.24206426,0.19286316,0.41644107,0.32883019,0.31723684,0.25044801
전국,매매전망지수,110.9547039,121.6487759,124.5443449,119.9749234,119.9814118,113.4967232,108.9046413,112.2750616,117.4270956,120.2090101,124.9319837,122.3474758,114.6512126,99.32108095,93.11907145,88.06588,86.650995,93.970359,95.396034,90.908217,81.526676,74.255036,73.2132,68.718972,65.114011,59.14968994,58.26610578,67.03350116,75.71314025,79.9549797,85.03990651,90.80273969,95.73448557,96.12967201,102.3066898,104.5020395,97.1369874,86.05384475,82.16548749,85.32939488,88.11953964,89.42396717,92.8691711,93.31326354,99.42544392,106.3485848,107.6150494,102.2516926,98.48200841,91.92285881,85.32900909,85.51312871,90.38813763,97.7923743,94.87680764,98.36116547,109.6833857,96.64696394,97.47775578,101.5930258,105.6661315
서울,상승,0.264055833,0.952802846,0.634921129,0.862525438,0.641006319,0.472549472,0,0.299760548,0.473987642,0.651545956,1.120963991,1.30415168,0.196146459,0,0.0908069,0,0,0,0,0.074195,0,0,0,0,0,0,0.037991541,0.04022455,0.03870087,0.03869916,0,0.04094937,0.04088702,0.16997162,0.22789913,0.30735149,0.07907874,0.05296373,0.0429705,0,0.05931666,0.05782722,0.05637898,0.06171183,0.28380154,1.32834479,0.36663434,0.22921352,0,0,0.24257378,0,0.23573052,1.50685673,0.17415854,0.23617756,4.55631596,0.31439358,0.10429277,0.69527513,2.58840577
서울,약상승,24.37110926,34.16183864,49.04592879,53.30948604,43.54341452,21.29277336,15.57802166,26.84565409,38.61215199,45.71524575,50.66424035,44.5723638,30.04081979,8.920723573,4.679431643,3.515169,2.078502,5.741622,9.903714,7.360674,2.211448,0.675347,0.644348,0.180682,0.183772,0.178892434,0.081068167,1.39953359,3.36931748,3.97193402,5.08985127,10.45615857,17.56980535,15.04133352,22.72667939,22.56313612,12.33824874,2.85135364,1.33187178,3.41702444,3.80425092,7.41028494,14.02849243,17.29013773,34.25571642,55.38280074,50.04163948,25.25856611,13.73570772,8.28250986,4.1685368,4.83815197,14.30394617,38.712724,18.61668618,27.88325678,60.51408536,13.58493898,16.68584709,37.00679882,47.0679227
서울,보통,68.90940472,59.6734443,48.48416088,44.73616408,54.40010402,71.36269388,76.31754235,68.60639327,58.0218242,52.42413352,47.29803497,52.26908864,65.40077468,70.66922841,67.6683496,65.318509,62.338259,70.274731,76.377986,69.709775,52.643661,35.63974,35.386947,26.919485,22.404766,15.00003366,14.83281111,32.82157839,38.77201559,50.53626134,57.3569083,64.02804757,64.33842398,65.57437432,67.06998208,67.48766475,71.99890595,60.37653123,50.41421955,54.59960351,62.07063296,65.36793952,69.00727852,69.71584246,58.51992031,39.94224063,47.16179006,68.4461542,73.76013831,71.82439451,64.13183667,62.50097816,65.58327461,52.39553529,69.39145388,64.35878147,33.06431808,68.1683711,71.65883803,56.85062612,47.03480123
서울,약하락,6.380724229,5.017562023,1.671886209,0.89747225,1.148826858,6.69614191,7.928594606,4.072350716,2.819740078,0.956789592,0.735166797,1.572255844,4.25494849,20.12299412,27.45601754,30.600329,35.156209,23.459771,13.7183,22.566798,44.177077,61.142254,61.571734,68.524155,71.649505,71.42909962,72.49472668,59.96057876,53.24729645,42.9170613,36.15038775,24.45988234,17.31901264,18.39701258,9.51854061,9.19077322,15.10916914,36.06523439,46.77926983,40.98992024,33.30056942,26.67907248,16.70035696,12.64636309,6.81019844,3.13554318,2.36933305,6.02931429,12.38352503,19.50080644,31.08339209,32.13607141,19.54538647,7.19165446,11.53400087,7.31710195,1.8652806,17.68951128,11.38885658,5.3921968,3.26783023
서울,하락,0.074705956,0.194352192,0.163102986,0.194352192,0.266648278,0.175841379,0.175841379,0.175841379,0.072296087,0.252285183,0.181593895,0.282140037,0.107310576,0.2870539,0.105394315,0.565993,0.42703,0.523875,0,0.288558,0.967813,2.542659,2.396971,4.375678,5.761957,13.39197428,12.5534025,5.7780847,4.5726696,2.53604418,1.40285267,1.01496215,0.73187102,0.81730796,0.45689879,0.45107441,0.47459743,0.65391701,1.43166834,0.99345182,0.76523004,0.48487584,0.20749311,0.28594489,0.13036328,0.21107066,0.06060307,0.03675188,0.12062895,0.3922892,0.37366066,0.52479847,0.33166223,0.19322952,0.28370053,0.20468224,0,0.24278505,0.16216552,0.05510313,0.04104007
서울,매매전망지수,109.1845424,115.330589,124.1588394,126.8741801,121.5716519,107.5950238,103.6488721,111.5105709,118.2978975,122.7784889,125.9039069,122.5220656,112.9817715,94.11181083,88.59711963,85.891427,83.034116,90.61705,98.092707,92.182576,78.049372,67.223887,67.139336,61.452586,58.505177,50.98292212,51.27775978,64.98161726,70.52704179,78.03009133,83.06687909,92.02412533,99.43441235,97.67482413,106.3750697,106.5424585,98.21902111,82.79210635,75.88760314,80.22010028,84.54592737,89.9385576,98.5129536,102.0976543,113.8761973,127.2409029,124.1421845,109.8070875,100.5554624,93.99856251,86.41148546,85.82624181,97.28334814,117.074162,103.4318007,110.3145727,133.8807183,98.01932238,102.5906225,116.447473,124.4474119
강북14개구,상승,0.375463283,1.008665249,0.171693986,0.801097416,0.602983494,0.388493484,0,0.60796344,0.74621516,0.464963754,1.19751892,1.5024131,0.235018653,0,0,0,0,0,0,0.150481,0,0,0,0,0,0,0.080103257,0.08480727,0.08160699,0.08153446,0,0.08605644,0.08605644,0.08428522,0.19985853,0.08393203,0,0,0.09060778,0,0,0,0,0.13028683,0.31951402,0.42471851,0.14558684,0.1433789,0,0,0.28408072,0,0,0.76471181,0.10966384,0.25270663,2.95400738,0.28379437,0,0.74581869,2.71386401
강북14개구,약상승,24.0635316,36.55876231,49.91754838,54.71520698,45.51809213,20.89645349,16.14627327,28.59649891,35.72944413,47.43591053,49.85726237,45.33487343,28.79131772,7.755615394,4.792677675,3.810161,1.127781,5.319199,9.179792,6.530837,1.970619,0.731802,0.531857,0.13118,0.19279,0,0.17092816,1.5532571,3.95444163,3.60762297,3.9009664,7.52014816,15.47656676,14.32409039,20.75500863,21.48651234,11.10609785,2.76383063,1.59888483,3.38238716,3.86241602,7.10871057,13.68058667,17.34459472,34.05636327,53.90255109,49.73941769,23.70317427,12.25680666,6.15995744,3.13915712,3.75372855,10.13814835,31.31085028,19.50942595,24.46997891,59.16058589,14.26036558,16.76829562,35.61974073,46.24850211
강북14개구,보통,69.71281717,58.4382851,48.80628392,43.88732531,53.06861684,72.06603245,77.5044452,66.97626469,61.61741208,51.71318966,48.41540383,51.70453377,65.97116527,71.38072309,68.51611512,64.388636,61.716947,69.936569,76.384886,67.724912,48.33968,32.30869,30.458674,24.851658,18.96593,13.86074792,14.49256084,32.19645878,38.87005947,51.45570178,57.6717852,65.75830453,63.90745154,63.32013701,68.6796219,68.40846479,73.07463667,58.90499259,48.15664202,52.86817074,62.90443054,64.41944301,68.01304131,70.22159275,59.28846933,42.24548816,48.11561663,70.3473375,76.3121356,75.09685215,65.36730567,61.8107534,66.09883576,59.85293197,69.58212658,67.20326499,36.29714616,72.14957846,73.59524103,58.26952865,48.0091051
강북14개구,약하락,5.848187945,3.99428734,1.104473715,0.596370291,0.810307538,6.649020575,6.349281532,3.819272959,1.906928629,0.230895519,0.529814874,1.254255674,5.002498358,20.86366152,26.69120721,31.465594,36.950634,24.516134,14.435321,25.593771,49.225144,64.623209,66.388616,70.38381,75.052942,73.34356445,72.51916865,59.94742303,53.014502,42.14352566,36.93803972,25.33254273,19.87770284,21.14877174,9.66598253,9.56084447,15.30323082,37.70141326,48.57863547,43.01599444,32.6052329,28.08397701,18.21401359,12.21118097,6.19368361,3.09051316,1.99937884,5.72856356,11.43105774,18.36991219,31.2094565,33.96052545,23.40425928,7.86827725,10.38974979,8.07404948,1.58826057,13.30626158,9.50208921,5.36491194,2.94164407
강북14개구,하락,0,0,0,0,0,0,0,0,0,0.155040542,0,0.203924027,0,0,0,0.335608,0.204637,0.228099,0,0,0.464558,2.336299,2.620853,4.633353,5.788338,12.79568762,12.73723909,6.21805381,4.07938991,2.71161513,1.48920869,1.30294813,0.65222242,1.12271563,0.69952842,0.46024636,0.51603466,0.62976352,1.57522991,0.73344766,0.62792054,0.3878694,0.09235843,0.09234473,0.14196977,0.33672908,0,0.07754576,0,0.37327821,0,0.4749926,0.3587566,0.20322868,0.40903384,0,0,0,0.13437415,0,0.08688471
강북14개구,매매전망지수,109.4831351,117.2909027,124.5782313,127.8605158,122.9568758,107.5122099,104.8984959,112.9965764,117.6574729,123.9124307,125.8612427,123.338798,112.1294283,93.44597694,89.05073523,85.836675,81.883936,90.173434,97.372236,90.619014,75.90818,65.717998,64.450767,60.240332,56.781585,50.53253015,51.16874392,64.6696705,71.4721869,78.10196798,81.99225466,89.87691102,97.23326598,95.54922891,105.0448432,105.5865196,97.38539886,81.90144516,75.02550255,79.4497487,85.00067103,89.12449738,97.6409281,102.604649,114.1088841,125.4940084,124.0156063,109.0531385,100.4128745,93.52174442,86.24893102,84.42160895,93.00818793,112.2827696,104.2604681,108.4506713,131.74017,100.7608464,103.4987291,115.8732331,124.2804083
강남11개구,상승,0.155700074,0.898470636,1.085459479,0.922270813,0.677987617,0.554302985,0,0,0.209217025,0.833017267,1.046506067,1.111321069,0.158339058,0,0.179126402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2475512,0.25317488,0.50887264,0.15032562,0.1007813,0,0,0.1129095,0.11003889,0.10716081,0,0.25164875,2.14110051,0.56589736,0.30654334,0,0,0.20525619,0,0.44826416,2.17749891,0.23200713,0.22137861,5.98537027,0.3416666,0.19762977,0.65001671,2.4760957
강남11개구,약상승,24.67026169,31.83057189,48.19818475,51.94227083,41.62282761,21.67823717,15.0253357,25.14276869,41.41589625,44.0417137,51.44911346,43.83074096,31.2560953,10.05391692,4.569287664,3.228257,3.00318,6.152475,10.607806,8.16778,2.445681,0.620438,0.753758,0.22533,0.175639,0.340282181,0,1.26083727,2.84154155,4.30106745,6.16128093,13.12154534,19.46458902,15.69071802,24.50393988,23.53423531,13.44836896,2.93037259,1.09101659,3.44829797,3.75169852,7.68257368,14.34185909,17.24113094,34.4351988,56.71419336,50.31407695,26.6598443,15.06818229,10.19083356,5.09401971,5.81418776,18.0598118,45.40145634,17.81594251,30.93926317,61.72123377,12.98293266,16.61205964,38.24881805,47.80146701
강남11개구,보통,68.12799948,60.87476982,48.17086149,45.56175132,55.69511889,70.67862127,75.16315134,70.1918691,54.52472724,53.11560309,46.21127325,52.81817913,64.84600833,69.9772231,66.84380621,66.222911,62.942553,70.60363,76.371275,71.640269,56.829747,38.879544,40.180224,28.784493,25.506381,16.02785263,15.13977158,33.38558963,38.68358103,49.70560144,57.07313949,62.4572752,64.72853695,67.61533744,65.61905563,66.65711635,71.02971425,61.70508968,52.45063407,56.162891,61.31729356,66.22432836,69.90281066,69.26070906,57.8279774,37.87061252,46.30196422,66.73334678,71.46081511,68.88222523,63.02106533,63.12221526,65.11844686,45.65662942,69.22042984,61.81203311,30.18104894,64.61992925,69.92585075,55.58009229,46.16260559
강남11개구,약하락,6.898673193,6.012807002,2.223756048,1.190326375,1.478073403,6.741972491,9.464646883,4.318496127,3.707547648,1.662799858,0.934893687,1.881545301,3.527875629,19.4026152,28.19987807,29.758765,33.410937,22.432345,13.020919,19.62274,39.267288,57.756651,56.886796,66.846901,68.579818,69.70194443,72.4726761,59.97244846,53.45727464,43.61590486,35.44055143,23.66765849,15.0029057,15.90559831,9.38563674,8.85697427,14.93432708,34.58803278,45.15617859,39.16060493,33.92880871,25.410597,15.3369719,13.03799098,7.36526136,3.17604489,2.70282784,6.30026558,13.24168821,20.5175598,30.97005155,30.49397072,16.06624312,6.5802216,12.56033782,6.63938493,2.11234703,21.59629263,13.07742238,5.41662859,3.55983169
강남11개구,하락,0.147365555,0.383380657,0.321738229,0.383380657,0.525992484,0.346866082,0.346866082,0.346866082,0.142611827,0.346866082,0.358213541,0.358213541,0.211681683,0.566244773,0.207901653,0.790067,0.643331,0.81155,0,0.569211,1.457284,2.743367,2.179222,4.143276,5.738162,13.92992075,12.38755232,5.38112463,5.01760279,2.37742624,1.32502815,0.75352097,0.80396833,0.54079502,0.23819288,0.44280144,0.4372641,0.67572365,1.30217075,1.2282061,0.88928972,0.57246207,0.31119754,0.46016902,0.11991369,0.09804872,0.11523363,0,0.22931438,0.40938141,0.70960722,0.56962626,0.30723406,0.18419374,0.17128271,0.38794017,0,0.45917886,0.18703745,0.10444436,0
강남11개구,매매전망지수,108.8941288,113.4239724,123.7509356,125.9148624,120.2243722,107.6755692,102.4334783,110.0652702,118.9207795,121.6756081,125.9454024,121.7277054,113.8107672,94.75940609,88.15592955,85.944679,84.15279,91.048515,98.793443,93.703309,80.131912,68.688527,69.754259,62.545938,60.059748,51.38924812,51.37610963,65.26306977,69.67453067,77.96515505,84.0353366,93.97342246,101.4268733,99.59931603,107.5741336,107.4047017,98.97008245,83.59622755,76.66524825,80.91564042,84.13506469,90.67356516,99.29840687,101.641401,113.6667038,128.812126,124.2562883,110.4863327,100.6839327,94.42725547,86.55763305,87.09048227,101.1378144,121.4039225,102.6885268,111.9833776,135.7898136,95.57580775,101.777911,116.9616671,124.5969134
수도권,상승,0.381637656,1.422120578,1.549039277,1.321152643,1.609164846,1.168966431,0.646937735,0.876202382,0.806539372,1.058339536,1.78873175,1.093170063,0.363598416,0.068324703,0.034717517,0,0.034412,0,0.041744,0.028367,0.053711,0,0,0.048529,0.10605,0.02714466,0.04408441,0.0472214,0.06572414,0.01173235,0,0.10623739,0.09861585,0.05109068,0.06842039,0.19100331,0.05184344,0.01586373,0.04304383,0,0.01771773,0.01726785,0.06511843,0.05072161,0.19851155,0.51779803,0.17256852,0.1482289,0.02687868,0.0241222,0.0714515,0,0.06935667,0.51066657,0.10446139,0.06939686,1.58029815,0.17734184,0.03049976,0.2741097,1.11359193
수도권,약상승,25.89717915,39.01446592,50.72932477,52.79954643,50.31731264,35.90000432,27.67517753,33.877091,43.25774922,49.9652604,56.45365235,50.86112602,32.90651563,9.202158186,5.47582815,3.800861,2.880994,7.014844,8.419814,6.279951,2.787677,1.140042,1.014371,0.461997,0.158761,0.556898458,0.438425383,1.6830676,5.13136927,5.55670705,7.67632814,12.59796506,18.17541933,16.17054243,23.84391204,25.13480988,12.53653854,3.44437059,2.73992138,4.7292165,6.18335721,8.13705877,12.35564542,12.39651628,25.7700152,41.84564889,40.46183893,22.73726989,13.62956193,7.79256461,4.04265434,4.56153934,8.8378051,22.16339187,13.33260206,18.18478313,43.21319424,12.17521411,11.66248903,22.72451046,30.32706364
수도권,보통,67.33492415,55.8052666,46.35331894,44.32335171,46.74645881,58.54361118,65.2109164,60.98097555,53.7266645,47.91889635,40.82407975,46.89792484,63.44822861,73.33351895,69.13738607,63.718051,62.006561,70.16297,71.54471,65.616822,48.966231,36.924971,37.335209,30.838166,25.37024,20.71272298,18.99478878,33.44363564,44.4953626,52.29161716,58.13208093,63.21210523,64.02922184,67.95092891,66.66364848,65.74803577,72.29063533,63.99023195,57.28149809,60.35902366,66.19024778,68.68514555,71.15050131,72.40534828,64.25115299,52.02399289,55.15467245,68.53311184,73.6506078,69.72725896,63.35387606,63.05080928,67.39502975,63.20103592,70.78783194,69.91452804,50.09166194,69.43943622,72.40596988,63.38892476,58.4296403
수도권,약하락,6.357697285,3.636815513,1.305959081,1.481644015,1.22511808,4.320189969,6.355835165,4.198502961,2.181406496,0.961049417,0.782361775,1.039910608,3.240630102,17.16791774,25.27796723,32.046249,34.681187,22.576806,19.936954,27.83022,47.173008,60.024793,59.723962,65.573594,70.278087,69.14815973,70.55462863,60.21079217,46.92301724,40.43254137,33.08770978,23.32591978,17.05198046,15.28604785,9.17989457,8.39386973,14.63778143,31.91175071,38.80732143,34.40116684,27.08807528,22.81518356,16.17889423,14.84290618,9.46883783,5.48108213,4.13036585,8.47262593,12.49863144,22.22861527,32.15731452,31.85218157,23.53764965,13.97922724,15.59609574,11.63322354,4.98155375,17.76013725,15.52651689,13.42753538,9.92234693
수도권,하락,0.028561765,0.121331395,0.062357934,0.074305207,0.101945624,0.067228108,0.111133178,0.067228108,0.027640417,0.09645429,0.151174376,0.107868472,0.041027243,0.228080414,0.074101036,0.434839,0.396846,0.245381,0.056778,0.244641,1.019373,1.910194,1.926458,3.077715,4.086862,9.555074175,9.968072799,4.6152832,3.38452676,1.70740206,1.10388114,0.75777254,0.64476252,0.54139013,0.24412452,0.53228131,0.48320127,0.63778302,1.12821528,0.51059299,0.52060201,0.34534427,0.24984061,0.30450765,0.31148243,0.13147806,0.08055426,0.10876344,0.19432015,0.22743895,0.37470359,0.53546981,0.16015883,0.1456784,0.17900887,0.19806843,0.13329191,0.44787057,0.37452445,0.1849197,0.20735721
수도권,매매전망지수,110.1228168,118.9896144,126.1983642,126.9057986,126.0533165,116.8916455,111.1954757,115.6482683,121.3170703,125.4639907,129.4732027,125.8959093,115.1555139,95.85736451,90.05954694,85.442467,83.737469,91.973638,94.226396,89.008591,76.841672,68.647431,68.718746,64.415015,60.959524,56.17643985,55.01790999,66.16807592,75.78537339,80.86641313,86.19042803,93.9844875,100.0155728,99.95194785,107.1563046,108.0291921,98.51802072,85.14439066,80.88112852,84.65343184,89.04475668,92.33286119,97.90365341,98.52301901,108.0376178,118.5686033,118.2577508,107.1717874,100.3980238,92.57865792,85.63941782,85.81920907,92.55927557,104.4570705,98.79370568,103.1471082,120.5628265,96.9370097,97.72396138,104.7376775,111.1085931
